,time (mimcroseconds),,,
n,iterative double,recusive double,iterative int,recursive int
8283,478.8,481.6,598.2,2220.9
8284,467.1,466.3,718.2,1797.7
8285,252.9,261.1,318.9,1295
8286,301.6,281,323.6,1496
8287,250.2,256.3,327,1248.8
8288,255,253.2,332.1,1304.6
8289,255,253.8,336.5,1287.2
8290,261.8,254,325.3,1279.1
8291,254.8,249.8,358.7,1334.6
8292,256.1,250,323.3,1333.3
8293,249.3,264.8,318.9,1575
8294,256.2,262.9,335,1518.7
8295,250.4,256.6,320.1,1508.3
8296,251.5,261.4,318.2,1274.5
8297,256.7,254,317.8,1314.2
8298,265.8,274.6,321,1273.3
8299,352.1,254.6,320.8,2126.9
8300,471.1,490.3,601.3,1789.1
8301,290.6,337.9,340.3,1803.8
8302,286.6,259.8,358.8,1505.4
8303,271.9,255.6,318.3,1258
8304,257.2,254,313.8,1307
8305,256.5,250.8,341.4,1387.4
8306,249.7,256.1,321.2,1345.6
8307,258.7,253.1,320,1978.8
8308,281.8,267.9,329.3,1699.8
8309,284.3,268,318.5,1326.1
8310,262.7,253.2,326.4,1254.9
8311,278.8,273.3,320.5,1301.9
8312,283.6,273.2,332.5,1277.1
8313,273.3,282.6,319.9,1266.1
8314,273.1,284.1,319.6,1698.9
8315,268,358.6,335.5,1450.4
8316,252.5,255.6,319.4,1234.3
8317,256.6,253.8,328.2,1267.7
8318,256.2,254.9,316.3,1285.1
8319,256.9,250.8,326.3,1264.7
8320,269.5,275.6,327.9,1369.8
8321,259,255.5,325.9,1369.5
8322,292.7,256,353,1459.9
8323,282,256.2,319.9,1418.8
8324,260.1,265.6,332.2,1373.9
8325,281,254.8,318.8,1290.4
8326,256.2,250.3,318.9,1359.5
8327,261.9,250.9,320.3,1294
8328,310.1,251.4,321.8,1489
8329,497.3,515.4,488.1,1734.5
8330,307.6,262.9,418.5,1304.5
8331,257.6,250.8,341.8,1251.5
8332,255.4,256.8,323.3,1296
8333,258.6,321.8,736.2,1557.1
8334,251.4,257.2,322.5,1246.3
8335,387.7,618.3,389.6,1737.1
8336,257.6,269.8,349.9,1746.4
8337,265.7,256.4,319.6,1397.7
8338,258.7,255,353.9,1406.4
8339,371.8,415.4,365.1,1805.3
8340,252.2,254.6,319.2,1445.5
8341,257.5,255.5,319.1,1272.5
8342,255.8,253.9,317.1,1349.3
8343,258.5,252.4,346.7,1579.9
8344,259.4,266.6,319.8,1278.4
8345,252.5,257.1,319.8,1285.4
8346,271,264.5,295.2,1293.2
8347,260,255.8,377.1,1454.3
8348,257.6,287.6,343.1,1323.2
8349,276,303.5,295.5,1349.7
8350,257.3,317.2,344.8,1567
8351,488.5,483.7,483,1534.7
8352,261.6,252.4,322.2,1441.1
8353,261.2,262.8,320.6,1418.2
8354,258.7,250.7,320.8,1381.9
8355,250.8,256.2,327.8,1417.3
8356,278.1,277.5,341.3,1414.1
8357,286.5,321.7,324.8,1777.9
8358,278,235.6,371.7,1252.8
8359,274.7,302.3,323.9,1367.7
8360,264.6,334.6,296.2,1332.1
8361,332.4,254.6,321.4,1523.4
8362,276.1,236.3,297.2,1210.6
8363,276.8,261.2,295.9,1397.8
8364,303.9,265,385,1435.5
8365,302.2,267.4,333.6,1257.1
8366,377.8,267.4,296,1214.1
8367,271.2,269.5,343.3,1336.7
8368,270.3,231,296.1,1417.4
8369,279.1,263.4,403.5,1367.5
8370,266.3,276.3,296,1443.8
8371,299.9,235.9,296.2,1593.2
8372,253.3,261,324.1,1625
8373,494.2,529.9,398,1297.8
8374,226.8,230.4,290.5,1134.9
8375,230.7,229.2,288.9,1146.5
8376,231,230.2,289.3,1151.7
8377,231,230,299.3,1152
8378,230.7,226.8,289.4,1145.5
8379,225.4,231.6,469.1,1895.9
8380,255.2,269.7,458,1159
8381,232,235.5,294.8,1176.3
8382,242.7,239.3,295.7,1310.5
8383,278.8,259.8,323.5,1846.9
8384,313.8,561,450.6,1243.4
8385,226.5,227.1,327.2,1310.1
8386,298.3,226.4,332.2,2091.3
8387,394.6,311.3,376.7,1527
8388,232.3,230.1,368.1,1936.1
8389,234.3,230.8,462.6,1196.6
8390,233.9,247.2,304.1,1182.1
8391,237.4,247.5,307.3,1178.3
8392,232.5,242.9,306.2,1328.5
8393,250.4,342.9,347.5,1674.6
8394,273.7,231,285.6,1157.5
8395,276.1,247.5,289,1159.8
8396,251.1,267.7,292.9,1208.2
8397,244.3,247.8,290.1,1196.1
8398,250.3,247.5,288.3,1216.7
8399,249.9,247.5,290.2,1260.6
8400,266.4,227.1,288.3,1413.5
8401,242.2,230.9,288.8,1916.6
8402,425.2,263.8,459.4,1623.1
8403,297.7,247.7,298.4,1270.7
8404,250.5,271.3,296.1,1232.3
8405,323.1,296.2,322.6,1421
8406,240,237.2,297.9,1346.1
8407,239.1,236.8,299.1,1203.2
8408,239.4,237.4,314.3,1337.3
8409,274.5,384.2,388.6,1521.2
8410,291.5,239.4,303.4,1262.7
8411,274.8,275.5,328.5,1335.4
8412,238.3,237.4,384.2,1400.6
8413,276.4,265.3,369.3,1513.5
8414,347.3,326.9,364.4,1669.3
8415,277.6,381.1,378.1,2129.1
8416,269,259.2,343.2,1582.9
8417,356.1,269.3,304.3,1285.4
8418,322.8,274.9,297.5,1219.4
8419,238.1,275.8,464.2,1656.5
8420,233.7,231.7,289.1,1142.6
8421,232.4,230.5,285.5,1144.3
8422,233.1,309.9,429.9,1259.9
8423,445.6,328.8,380.7,1817.7
8424,306.8,244,309.4,1166.9
8425,265.3,230.3,290.8,1155.9
8426,250.4,248,290.4,1194.7
8427,313.2,231.7,294.1,1752.8
8428,279.8,227.3,333.9,1294.5
8429,720.3,390.5,292.6,1355.6
8430,399.7,262,367.2,1284.5
8431,244.4,416.9,591.1,2647.9
8432,342.3,238,437.8,1258.1
8433,233.7,261.8,290.5,1212.5
8434,229.7,266.3,294.9,1220.1
8435,244.5,272.1,290.5,2040.1
8436,299.5,235,310.8,1444.3
8437,261.5,434.8,463.8,1831.4
8438,388.9,247.5,294.4,1172.6
8439,276.1,283.7,298.8,1192.8
8440,307,743.2,326.7,1207.4
8441,266.5,227.2,287.4,1191.5
8442,261.3,233.9,291.4,1254.1
8443,258.9,232.1,292.5,1503.3
8444,264,435.4,449.6,1732.5
8445,246.2,249.8,290.9,1225.8
8446,232.7,232.2,291,1242.8
8447,233.7,237.2,291.8,1301.5
8448,256.4,232.3,291.9,1205.8
8449,310.6,231.4,290.7,1171.1
8450,233.2,231.6,291.1,1174.6
8451,233.8,228.5,291,1575.3
8452,247,269,372,1539.6
8453,337.8,331.8,318.1,1415.8
8454,233.9,230.6,294.6,1158
8455,239.1,227.9,291.1,1162.1
8456,228.5,233,291.6,1158.3
8457,228.4,232.4,291,1159.1
8458,232.6,232.3,294.6,1178.4
8459,238.7,237.1,299.3,1589
8460,306.1,317.1,299.2,1295
8461,240.1,240.1,310.4,1319.2
8462,291,237.1,294.9,1302.2
8463,291.8,237.1,300.9,1248.3
8464,239.7,233.4,300.4,1225.6
8465,233.6,238.7,298.2,1376.2
8466,264.2,272.5,299.1,1290.8
8467,319.1,265.8,329.3,1364.4
8468,263.3,259.5,334,1371.8
8469,349.9,233.9,302.6,1368.3
8470,240.3,233.7,299.6,1217.8
8471,311.2,235.2,301.2,1213.8
8472,298.8,238.3,302.8,1215.4
8473,293.5,233.4,319.6,1216.6
8474,272.4,233.4,300.8,1230.6
8475,287.9,311.1,336,1608.5
8476,271.3,323.6,408.2,1372.3
8477,241,246.7,299.1,1297.1
8478,239.7,239.5,298.6,1308.8
8479,240.7,234.4,300.5,1263.4
8480,239.6,234.7,303.6,1219.8
8481,234.6,239.1,299.8,1238.5
8482,243.6,243.1,300.4,1368.7
8483,262.4,308.4,428.6,1677.8
8484,243.2,234.6,300.8,1213.3
8485,306.7,281.4,331.4,1197.1
8486,234.9,239.7,299.8,1197.8
8487,235,239,300.7,1231.3
8488,261.8,706.1,492.2,1237.3
8489,236.8,241,299.9,1227.6
8490,236.6,276.9,331.1,2465.8
8491,496.5,586.7,580.5,2404
8492,481.7,716.6,719,1774.8
8493,380.3,386.5,407.8,1330.8
8494,236.3,270.4,330,1282.1
8495,240.1,302.2,301.3,2557.5
8496,512.6,574.3,658.4,2154.9
8497,523,458,570.9,2055.3
8498,489.9,424.5,596.8,2068.8
8499,437.9,478.7,534.3,2272.7
8500,470.6,453.8,603.6,2285.6
8501,412,447.4,518.7,1886.6
8502,444.6,418.9,521.1,1874
8503,450.7,414.5,551.7,1892.7
8504,462.9,423.7,537.3,2119.5
8505,485.4,330.6,357.4,1565.1
8506,243.6,294.9,330,1329.9
8507,259.3,262.7,318.4,1266.4
8508,236.3,240.5,299.5,1224.9
8509,241.2,239.6,300.5,1224.8
8510,240.4,239.8,301,1205
8511,243.9,242.9,306,1213.7
8512,241.7,260.2,440.9,1945.9
8513,273.4,257.7,316.3,1253.3
8514,257.5,236.9,303.2,1238
8515,235.6,240.2,301.9,1228.6
8516,236.1,240.4,300.8,1202.7
8517,241.8,239.9,300.4,1219.7
8518,241.3,240.5,301.9,1228.3
8519,241.4,240.2,297,1253.8
8520,286.2,351.4,353,1792.4
8521,239.2,243.7,374.2,1300.3
8522,247.1,314.3,307.8,1287.9
8523,285.1,271.7,302.3,1262.3
8524,305.9,239,302,1300.4
8525,276.8,239.4,301,1310.3
8526,241.9,236.9,300.9,1291
8527,271.2,237.1,336.5,1602.5
8528,399.9,314.2,331.8,1446.6
8529,264,253.3,363.1,1581.3
8530,268.9,253,293.3,1776.2
8531,279.5,271.8,343.2,2096.9
8532,238.6,235.9,298.8,1204.6
8533,242.9,240.9,300.9,1200.6
8534,241.7,235.9,371.6,2432.2
8535,259.3,240.6,296.9,1228.6
8536,235.5,234.3,320.3,1443.4
8537,234.8,234.2,327.8,2785.4
8538,433.4,267.4,390.8,1463.8
8539,243.5,252.4,303.4,1203.6
8540,241.3,290.3,417.7,2317.5
8541,381.5,317.9,481,1780
8542,244.7,236.3,310,1204.1
8543,248.6,240.8,320.6,1229.4
8544,242.6,241.2,332.6,1213.3
8545,242.6,240.2,323.3,1212.6
8546,243,241.8,327.8,1203.2
8547,241.8,239.9,304.2,1548.9
8548,265.8,303.6,333.8,1627.3
8549,238.4,302.9,301.8,1240.8
8550,242.7,273.9,348.2,1309.4
8551,301.2,241.1,305.4,1296.2
8552,271.5,241,319.3,1312.7
8553,242.1,240.1,333.7,1287.4
8554,247.9,240,381.5,1299.5
8555,262.9,305.3,563.5,1943.1
8556,424.9,260.8,366.4,1534.1
8557,273.4,269.6,297.4,1231
8558,330,236.2,304.6,1292.6
8559,273.7,236.8,303.4,1320
8560,237.6,242.8,302.3,1353.4
8561,237.9,245.8,342.4,1307.5
8562,242.9,240.6,371.8,1518.2
8563,309.6,276.7,360.9,1521.7
8564,257.1,253.6,371.5,1235.2
8565,242.9,237.8,369.6,1329.9
8566,318.4,270.5,302.6,1263.1
8567,274.1,272.1,306.6,1263.1
8568,297.9,240.9,302.5,1355.8
8569,255.7,259,366,1481.4
8570,259.7,270.4,331.9,1659.4
8571,243.7,265.3,299.1,1567.4
8572,261.3,237.8,295.4,1223.9
8573,249.2,236.8,294.6,1209.5
8574,270,238.2,294.1,1210
8575,252.5,234.6,295.5,1374.8
8576,403.8,762.7,517.5,1205.8
8577,287.6,257.5,381.4,2141.5
8578,345.6,278.7,629.5,2151.6
8579,234.1,246.9,312.5,1673.3
8580,419.3,245.5,314.8,1994.8
8581,476.4,591.8,726.1,2047.6
8582,453.4,419.7,646.6,2760.7
8583,483.6,412.7,805.9,2439.4
8584,469.7,494.6,1018,1552.8
8585,304.1,245,306.8,1501.6
8586,240.3,243.9,364.6,1473.1
8587,239,307.9,408.2,1658
8588,246.6,237.9,333.4,1272.2
8589,239.3,243.6,367.4,1256.6
8590,240.6,245.5,418.5,1388.2
8591,264.9,276.5,303.2,1295.1
8592,306.3,282.3,329.7,1301.6
8593,264,264.2,328.4,1303.1
8594,265.4,263,328.8,1491.4
8595,261.6,265.8,336.3,1384.5
8596,333.4,420.9,332.3,1309.1
8597,313.9,259.4,330,1287.9
8598,266.2,258,329.6,1462.2
8599,270.3,264.9,329.8,1575.7
8600,259.4,264.6,331.4,1423.7
8601,258.5,265.1,331.9,1296
8602,454.1,263.1,384.7,1387.1
8603,282.9,279.1,459.4,1445.5
8604,267.3,263.6,326.5,1294.6
8605,266,259.4,328.3,1312.6
8606,266.4,258.3,330.8,1306.3
8607,260.2,263.9,331.3,1316.8
8608,258.6,263.8,329.6,1303
8609,265.5,263.7,398.8,2255.3
8610,507.5,472.1,618.5,2182.9
8611,510.7,482.1,587.4,2254.5
8612,485.1,464.5,607.6,2300.8
8613,491.8,468.3,603.5,2625.8
8614,473.5,679,588.9,2101.6
8615,506.5,443.6,376.6,1340.4
8616,266.8,266.7,329.8,1352.6
8617,271.8,265.1,330.8,1351.7
8618,265.7,265.1,331.6,1327.7
8619,279.6,263.1,333.1,1492
8620,333.3,261.3,340.2,3361.7
8621,619.5,443.5,557.1,2140.5
8622,267.5,266.3,332.1,1351.6
8623,269,264.2,335.6,1630.4
8624,270.8,267.1,333,1888
8625,261.8,267.3,435.2,1463.3
8626,270.6,264.2,336.6,1321.9
8627,265.3,260.6,336.1,1340.2
8628,266.8,260.9,339.4,1634.3
8629,369,259.2,328,1302
8630,260.6,269.8,352.8,1322.5
8631,260.6,265.7,338.5,1308.1
8632,260.2,264,330.7,1445.4
8633,264.6,268.7,415.7,1433.5
8634,240.6,244.3,304.4,1177.7
8635,245.4,242.7,305.2,1237.8
8636,263.4,246.1,310,1300.4
8637,245.1,243.4,304.3,1449.5
8638,245.7,243.7,304.7,1297.6
8639,245.7,412,367.8,1304
8640,240.4,347.7,332.5,1436.6
8641,267.5,260.8,331.1,1621.7
8642,245.5,240.2,304.3,1211.9
8643,240.8,240.3,324.3,1216.9
8644,239.6,244.6,305.4,1212.6
8645,240,245,305.4,1211.5
8646,240,243.6,307,1538.5
8647,263,277.4,335.7,1404.3
8648,260.3,303.7,368.3,1309.1
8649,266.9,271,331.7,1321
8650,284.6,243.8,347.9,1280.4
8651,263.2,264.4,328,1311.8
8652,240.6,244.9,309.1,1377.1
8653,327.2,247.7,337.8,1602.8
8654,305.3,238.9,305.1,1305.5
8655,245.3,240.1,368,1494.3
8656,285.1,320.2,657.3,1365.9
8657,430.2,261.3,343,1308.4
8658,267,259.3,345.3,1342.7
8659,265.3,259.3,338.7,1325.2
8660,266.9,259.8,339.5,1311.7
8661,266.9,261,333.2,1316
8662,269.6,261.6,339.2,1426.7
8663,321.3,264.3,352.8,1449.8
8664,268.2,264.4,333.4,1306.6
8665,274.7,265.5,332.7,1313.6
8666,265.8,265.8,349.2,1395.1
8667,267.3,264.4,333.1,1468.6
8668,266.6,265.9,328.6,1485
8669,265.7,261.4,332.1,1556.9
8670,314.1,686.1,389.7,2022.9
8671,327,321.1,412.1,1776.9
8672,375.2,327.8,332.8,1318.1
8673,267.8,265.9,334.8,2454.7
8674,271.1,267.9,329.1,1314.9
8675,274.7,261.5,333.7,1354.1
8676,267.8,261.2,331.9,1303.2
8677,326.5,240.3,306.1,1264.6
8678,317,248.2,307.9,1364.4
8679,279.5,261.6,442,1770.4
8680,248.1,250.4,365.3,1298.3
8681,246.7,244.3,399.2,1518.2
8682,309.8,243.9,308.9,1550.6
8683,268.7,266.4,333.4,1519.3
8684,271.4,266.3,342.6,1495.8
8685,240.2,245.7,306.4,1236.4
8686,241.1,244.7,322,1227.5
8687,327.5,241.4,323.7,1293.9
8688,350,411.3,359.1,1219.5
8689,240.7,245.3,306.2,1212.6
8690,247.2,244.7,308,1781.4
8691,301.1,250.6,376,1267.1
8692,247.2,244.1,372.6,1259.4
8693,246.7,283.9,339.6,1389.1
8694,380.2,391.1,549.1,2331.1
8695,347.5,267.4,368.3,1219.3
8696,313.3,255,315.3,2069
8697,294.5,301.2,376.3,2106.2
8698,260.6,238.9,335.7,2039.2
8699,563.2,669.5,538.2,1598.5
8700,270.3,240,301.8,1668.5
8701,369.8,262.5,479.5,2017.6
8702,240,276.3,299.1,1496.1
8703,272.5,383.3,480.1,1946.2
8704,282.6,267.8,355.1,1352.9
8705,311.4,251.1,299.6,1255.4
8706,395.6,236.3,413.9,2152.9
8707,344.8,417.5,299.4,1231.5
8708,259.8,257,300.2,1804.2
8709,350.3,271.7,370.4,1515.5
8710,236.8,240.9,335.7,1201.8
8711,234.6,256.4,437.8,1790.4
8712,380.4,681.1,553.8,1475
8713,242.3,235,360.8,1659.1
8714,347.7,440,470.5,2216.5
8715,241.1,295.3,427.7,2138.1
8716,298.6,276.3,492.3,2100.8
8717,249.8,270.7,339.5,1273.3
8718,290.7,309,308.7,1318.3
8719,269.5,404.3,362.3,1710.2
8720,242.9,240.1,343.1,1210.9
8721,240.1,238.3,321.5,1685.6
8722,384.3,290.4,406.1,1626.2
8723,242.6,273.2,301.2,1291.6
8724,373.4,239.5,318.5,1743.9
8725,494.2,465.2,426.1,1254.8
8726,289.3,253.5,339.2,1442.2
8727,368.2,411.5,401.2,2509
8728,278.4,269.7,352.9,1822.5
8729,243.4,258.8,431.1,2346.1
8730,385.5,238.6,355.7,1312.4
8731,311.1,320.7,347.9,1670.3
8732,463.2,687,404.5,1274.6
8733,246.4,244.4,297.8,1513
8734,328.2,273.3,377.5,2279.7
8735,448.1,241.8,301.7,1239.9
8736,274.6,239.8,301.1,1296.9
8737,241.7,322.5,601,1789.5
8738,278,289.2,317.4,1231.7
8739,237.1,245.8,408.8,2617.6
8740,361.6,387.8,398.4,1551.3
8741,282.5,235.8,301.7,1567.5
8742,389.7,480.9,713.4,1707.4
8743,242.2,273.7,325.8,1784.3
8744,496.1,1175.6,647.5,1591.7
8745,243.4,239.8,300.6,1547.7
8746,354.1,488.3,440.7,2181.5
8747,244.8,270.6,302,1209.9
8748,237.4,275,302.6,1295.5
8749,329.3,240.8,375.8,2316.4
8750,397.6,499.6,324,1237.2
8751,241.8,252.4,337.4,1650.2
8752,389.3,447.2,372.2,1526.4
8753,238.7,240.9,335.9,1237.8
8754,324.1,253.5,410.6,2398.7
8755,326.2,246.1,307.7,1214.8
8756,275.8,241,307.3,1466.6
8757,460.4,360.8,641.2,2022.9
8758,243,338,333.9,1832.1
8759,544.8,372.3,432.6,1904.5
8760,314.5,237.7,298.4,1277
8761,254.5,243.6,376.3,1595.2
8762,248.3,240,342.3,1232.2
8763,242.1,257.6,319.3,1230
8764,241.1,328.5,476.4,2289.4
8765,334.1,316,349.6,1238.8
8766,258.3,265.3,334.7,1327.8
8767,276.6,245.4,359.3,1929.4
8768,540.6,693,386.5,1264.3
8769,257.6,274.1,303.5,1417.7
8770,407.6,237.9,307,1313.6
8771,270,426.5,339,1603
8772,273.3,673.3,612.2,2579.4
8773,294.2,240.7,338,1387.7
8774,279.6,240.8,343.2,1556.4
8775,238.2,242,338.5,1312
8776,254.3,259.3,301.5,1237
8777,252.4,259.8,340.8,1381
8778,568.1,267.6,345.1,2198.9
8779,316.5,265.4,458.7,1768.3
8780,288.4,307.4,384.6,1247.5
8781,241.6,236.6,316.8,1222.9
8782,382,241.5,306.2,1214.9
8783,241.6,240.3,381,1622.5
8784,385.2,517.8,787.6,1902.1
8785,316.3,295.7,401.9,2852
8786,316.4,587.4,699,1459.2
8787,272.5,249.7,318.9,1948.4
8788,351.6,652.2,664.6,1441
8789,242.4,245.9,303.8,1399.1
8790,277.1,324.9,350.4,2184.3
8791,348.5,282.9,313.1,1401.8
8792,382.4,242.2,422.7,1761.5
8793,457.7,567,539.2,1454.3
8794,248,242.3,304.5,1369.6
8795,297.8,346.4,486.4,2489
8796,285.2,266,378.5,1934.4
8797,341.6,325.6,342.6,1810
8798,545,369.9,491.4,1319.1
8799,249.4,241.6,322.2,1403.9
8800,280.7,292.5,590.1,2346.1
8801,296.6,241.7,303.2,1566
8802,324,273.3,344.5,1636.4
8803,278,238.4,302.7,1399.8
8804,243.9,236.9,302.4,1584.7
8805,638.5,561.4,775.5,2456.8
8806,249.7,240.4,303.2,1642.4
8807,264.1,479.1,492.2,1880.3
8808,458.1,322.3,452.6,2077
8809,256.1,330.4,660.9,2384.5
8810,606.4,239.2,314.7,1768.9
8811,329.2,291.3,430.5,2083.6
8812,246.3,244.8,322.3,1497
8813,456.7,316.9,665.3,1896.6
8814,413.5,489,678.5,1392.2
8815,238.9,243.5,304.6,1293.7
8816,238.7,300.4,473.8,2627.2
8817,261.7,242.3,300,1400.1
8818,249.1,259.4,381.5,2519.3
8819,336.4,459.6,316.6,1280.9
8820,271.4,238.9,300.4,1459.4
8821,375.1,386.6,392.5,2367
8822,295.8,242.9,304.6,1245.9
8823,376,260,315.3,2130.7
8824,597.6,316.4,468.9,2301.9
8825,334.5,326.8,424.4,2050
8826,275.7,293.6,340.2,1326
8827,270.8,291.4,305.5,1246
8828,258.9,373.6,341.4,1795.8
8829,439.5,339.7,359.9,1358.3
8830,238.4,242.5,335.2,1669.2
8831,401.6,434.9,524,1674.9
8832,241.7,261.3,321.2,1358.1
8833,382.4,425.4,301,2825.3
8834,372.6,435.8,385.3,1252.7
8835,243.8,257.4,404.8,1745.9
8836,452.5,591.3,458.6,1970.1
8837,301.8,299.2,305.2,1390.6
8838,514.2,363.3,461.4,1902.6
8839,257.5,328.8,439.9,1275.9
8840,314.9,260.9,357.3,2125.2
8841,451.1,343.9,306.2,1265.6
8842,260.6,416.2,346.2,1472.1
8843,327.3,416,800.3,1864.9
8844,256.9,278.8,348,1297.1
8845,249.9,351.1,348.7,2038
8846,287.8,265.8,351.5,1369.1
8847,249.6,326,312.2,1603.8
8848,278.6,266.6,339,2907
8849,261.6,476.1,374.3,2257.8
8850,471.1,383.2,517.7,2527
8851,355,386.5,328.9,1290
8852,312.9,377.9,492.9,1568.8
8853,270.1,272.5,341.3,3485.6
8854,629.8,523.7,414.8,1355.4
8855,306.9,256.6,313.6,1483.1
8856,251.3,244.9,374.2,1486.9
8857,460.4,328,401.7,1476.7
8858,273.2,271.2,339.8,1341.3
8859,272.1,317.3,357.6,1548
8860,435,441.3,436.2,1672.1
8861,254.2,247,323.7,1440.4
8862,273.7,373.9,396.3,1829.4
8863,252.9,259.7,313.9,1336.3
8864,251.6,254,313.4,1402.3
8865,349.4,405.1,415.8,1585.4
8866,257.8,249.6,326.9,2092.4
8867,322.8,337.4,388.5,1642.4
8868,261.1,246.3,364.3,1375.8
8869,312.3,251.7,375.6,1419.8
8870,447.6,271.7,361.3,1372.8
8871,252,310.7,316,1313.6
8872,310.2,248.9,313.9,1471.3
8873,316.9,440.7,608.2,2150.7
8874,508.7,444.7,606.8,2099
8875,501.1,483.1,857.7,2181
8876,443,496.2,598.9,2439.9
8877,452.4,499.2,591.1,1775.4
8878,333.1,279.3,350.8,1586.2
8879,307,276.2,433.2,1381.6
8880,261.4,280.1,402.5,1378
8881,313.3,285.6,354.1,1485.4
8882,294.7,292.5,379.7,1337.5
8883,269.5,249.3,379.2,1326.3
8884,305.1,282,347.7,1732.3
8885,282.1,308.2,373.5,1418.4
8886,279.7,284.9,314.6,1719.9
8887,267.9,268.6,585.2,1683.9
8888,293.1,251,336.4,1406.1
8889,253,249.9,362.2,2167.7
8890,602.8,554.4,633.9,2329.4
8891,248.7,252.4,354.7,1498.3
8892,247.6,306.5,309.5,1369.4
8893,280.6,249.8,314.2,1378.8
8894,275.6,252.1,361.1,1430.5
8895,268.9,273.8,402.5,2396.2
8896,367,487.7,428.6,2384.3
8897,567.1,551.1,565.4,2042.6
8898,471.7,448.3,701.4,3121.4
8899,701,480.4,560.4,2303.2
8900,516.5,446.6,560.5,2653
8901,564.9,568.9,474.5,1516.6
8902,362.2,450.1,316,1337.4
8903,293.6,274.3,314.7,1345.8
8904,290.3,247.5,314.5,1479.4
8905,300.3,251.5,379.2,1368.2
8906,252.2,314.3,314.9,1695.8
8907,289.3,294.4,352,1397.8
8908,252.8,319,345,1299.9
8909,314.5,249.8,315.4,1371.3
8910,280.6,297.5,384.2,1448.5
8911,252.7,282.9,346.8,1313.6
8912,265.2,294.7,314.1,1307.7
8913,347.8,300.5,314.1,1467.7
8914,287,278,465.4,1633.3
8915,396.6,324.1,316.5,1651.8
8916,288.8,272.7,446.2,1576.7
8917,282.1,247.8,314.9,1235.8
8918,251.9,247.8,314.4,1379.2
8919,278,275.7,365.7,1480.9
8920,259.2,251.1,315.6,1435.1
8921,366.7,304.8,376,1393.5
8922,272.1,267.7,357.1,1378.7
8923,269.1,304.4,346.5,1340.5
8924,281.6,277.4,342.8,1349.6
8925,273.8,269.5,347.6,1379.9
8926,275.8,277,341.9,1361.6
8927,294.3,272.8,344.6,1413.6
8928,790,357.7,472.2,2094.8
8929,309.5,284.9,325.3,1695.2
8930,254.6,297.4,818.3,2507.5
8931,321.7,316.3,316.3,2520.2
8932,472.9,474.2,710.6,1889.8
8933,319.7,310.4,495,2147.1
8934,311,285,458.4,1716
8935,541.3,454.4,588.9,1363.6
8936,269.2,276,838.3,1789.1
8937,250.2,247.6,312.5,1278.7
8938,256.1,252.5,330.8,1421.8
8939,271.5,365.9,466.5,1883
8940,285.6,271.4,346.5,1399.1
8941,275.4,286.6,359.6,2117.8
8942,575.1,491.8,329.3,1591
8943,302.6,253.2,320.4,1897.4
8944,335.5,274.9,358.1,1818.5
8945,273.1,276.4,356.5,1441.9
8946,313.7,277.1,352.6,1684
8947,286.8,279.9,356,1958.3
8948,280.9,279.2,346.2,1375.3
8949,280.4,273.9,343.6,1392.7
8950,276.1,280.3,348.6,1359
8951,283.9,279.2,344.2,2130.5
8952,519.8,506.8,402.8,1680.7
8953,255.5,249.7,317.4,1245.6
8954,252.8,294.3,350.2,1464.4
8955,275.3,274.1,348.1,1229.5
8956,254.2,252.5,316.2,1320.1
8957,296.1,252.9,359.1,1713.8
8958,360.8,272,379.2,1683.6
8959,276.7,394.1,345.2,2110.2
8960,294.4,296.2,354.8,1346.1
8961,287.8,252.9,316,1356.2
8962,254.5,251.7,368.6,1406.5
8963,326.1,273.6,344.2,1396.2
8964,310.6,261.2,315.9,1573.6
8965,331.8,325.4,405.1,1622
8966,320.6,277.3,339.2,1252.9
8967,255.2,253,317.3,1238.8
8968,253.4,318.5,317.6,1663.7
8969,339.9,273.7,355.1,1258.8
8970,253.6,253.5,320.7,1219.8
8971,254.4,254.9,376.1,1846.3
8972,302.3,301.6,469.4,2110.1
8973,252.7,306.4,338.4,1959.7
8974,363.6,295.3,389.8,1675.2
8975,432.7,284,319.5,1391.1
8976,313.4,397,345.3,1638
8977,250.7,253.4,316.6,1404
8978,272.4,272.8,424.9,1968.2
8979,319.3,336.8,382.5,1379
8980,276.1,252.3,317.6,1239.8
8981,253.7,252.6,351.1,2251.3
8982,323.1,296.1,315.4,1330.7
8983,334.1,650.8,399.1,1370.3
8984,272.7,270.5,488.3,2561
8985,274.5,288.7,348.1,1569.9
8986,277,271.5,343.5,1399.6
8987,277.6,275.6,344.5,1508.5
8988,277.6,274.5,364.2,1654.9
8989,277.1,274.6,346.5,1452.4
8990,272.4,276.1,346.3,1617
8991,316.4,336.3,361.8,1652.4
8992,337.4,302.2,367.7,1385.1
8993,272.3,274.3,346,1365
8994,270.1,275,345.4,1401.5
8995,277.8,270.2,346,1369.6
8996,276.5,270.3,345.6,1359.2
8997,276.1,273.6,345.5,1855.1
8998,315.3,278.5,439.4,1859.9
8999,310.7,303.7,353.1,1441.7
9000,366.6,275.5,352,1406.7
9001,278.3,283,345.2,1492
9002,277.3,275.2,346.4,1630.8
9003,270.3,275.3,348.5,1669.6
9004,279.1,272.9,347.1,1923.8
9005,283,250.1,367.5,1817.7
9006,337.2,341.6,422,1246.7
9007,254.3,253.5,320.7,1268.7
9008,278,298,320.3,1550.8
